danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,song_name,artist_name,popularity
0.548,0.704,11,-4.838,0,0.0777,0.0168,2.25e-05,0.143,0.288,104.666,audio_features,7COfe3P7KgfwDwIRB8LIDw,185040,4,Mi Gente,J Balvin,75
0.718,0.792,7,-3.519,1,0.105,0.0467,3.65e-06,0.0399,0.96,90.949,audio_features,5M830cD7MNeiiwIGHzH9TV,243387,4,Bailando - Spanish Version,Enrique Iglesias,69
0.718,0.792,7,-3.519,1,0.105,0.0467,3.65e-06,0.0399,0.96,90.949,audio_features,5M830cD7MNeiiwIGHzH9TV,243387,4,Bailando - Spanish Version,Enrique Iglesias,69
0.928,0.892,9,-7.782,0,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,audio_features,6nFYXpBgrNcZjbtNEuc6yR,192227,4,I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,63
0.928,0.892,9,-7.782,0,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,audio_features,6nFYXpBgrNcZjbtNEuc6yR,192227,4,I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,63
0.928,0.892,9,-7.782,0,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,audio_features,6nFYXpBgrNcZjbtNEuc6yR,192227,4,I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,63
0.928,0.892,9,-7.782,0,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,audio_features,6nFYXpBgrNcZjbtNEuc6yR,192227,4,I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,63
0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,1Yk0cQdMLx5RzzFTYwmuld,295502,4,Hello,Adele,78
0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,audio_features,5knuzwU65gJK7IF5yJsuaW,251088,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,76
0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,audio_features,2ekn2ttSfGqwhhate0LSR0,209320,4,New Rules,Dua Lipa,83
0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,audio_features,6mICuAdrwEjh6Y6lroV2Kg,195840,4,Chantaje (feat. Maluma),Shakira,78
0.765,0.269,5,-10.773,0,0.121,0.324,0.395,0.106,0.359,189.96,audio_features,15i07hah64WMAVWte3j5QU,245368,4,Closer (Originally Performed by the Chainsmokers Ft. Halsey) - Instrumental Version,Hit The Button Karaoke,2
0.765,0.269,5,-10.773,0,0.121,0.324,0.395,0.106,0.359,189.96,audio_features,15i07hah64WMAVWte3j5QU,245368,4,Closer (Originally Performed by the Chainsmokers Ft. Halsey) - Instrumental Version,Hit The Button Karaoke,2
0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,audio_features,06KyNuuMOX1ROXRhj787tj,217707,4,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,84
0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,214240,4,Baby,Justin Bieber,84
0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,audio_features,4tCtwWceOPWzenK2HAIJSb,214480,4,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,79
0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,193227,4,Con Calma,Daddy Yankee,79
0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,202333,4,Stressed Out,Twenty One Pilots,89
0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,audio_features,5iwz1NiezX7WWjnCgY5TH4,238200,4,Calma - Remix,Pedro Capó,74
0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,audio_features,15JINEqzVMv3SvJTAXAKED,263373,4,Love The Way You Lie,Eminem,88
0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,audio_features,0azC730Exh71aQlOt9Zj3y,222160,4,This Is What You Came For,Calvin Harris,85
0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,audio_features,6IPNp9PfaEqrzotY47TIWy,225600,4,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,73
0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,audio_features,4VrWlk8IQxevMvERoX08iC,216120,5,Chandelier,Sia,83
0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,audio_features,6Za3190Sbw39BBC77WSS1C,232550,4,Criminal,NATTI NATASHA,76
0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,audio_features,0pqnGHJpmpxLKifKRmU6WP,204347,4,Believer,Imagine Dragons,89
0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,audio_features,5jE48hhRu8E6zBDPRSkEq7,187920,4,All About That Bass,Meghan Trainor,75
0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,audio_features,1ExfPZEiahqhLyajhybFeS,189109,4,The Lazy Song,Bruno Mars,75
0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,audio_features,3MEYFivt6bilQ9q9mFWZ4g,273803,4,Alone,Marshmello,73
