Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify)
Bum Bum Tam Tam,MC Fioti,2014,52
Una Lady Como Tú,Manuel Turizo,2017-04-10,70
Dynamite,BTS,2020-11-20,82
Smells Like Teen Spirit,Nirvana,1991-09-26,84
Bad Romance,Lady Gaga,2009-11-05,84
Reggaetón Lento (Bailemos),CNCO,2016-08-26,74
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-02-23,76
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017-06-22,75
Queencard,(G)I-DLE,2023-05-15,83
Se Preparó,Ozuna,2017-08-25,80
Boy With Luv (feat. Halsey),BTS,2019-04-12,78
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,79
Love Yourself,Justin Bieber,2015-11-13,86
Shaky Shaky,Daddy Yankee,2016-04-08,65
Animals,Martin Garrix,2013-06-17,70
Robarte un Beso,Carlos Vives,2017-11-10,77
In the End,Linkin Park,2000-10-24,89
Just Give Me a Reason (feat. Nate Ruess),P!nk,2012-09-18,84
Toda Remix - Remix,Alex Rose,2018-06-01,74
What's Up? - Single Version,4 Non Blondes,2021-01-29,51
BOOMBAYAH - Japanese Version,BLACKPINK,2018-12-05,60
La Bicicleta,Carlos Vives,2017-11-10,76
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016-05-06,82
Señorita,Shawn Mendes,2019-06-21,80
Corazón (feat. Nego do Borel),Maluma,2018-05-18,72
Lehanga,Jass Manak,2022-11-13,68
Unforgettable,French Montana,2017-07-14,86
24K Magic,Bruno Mars,2016-11-17,82
Summer,Calvin Harris,2014-10-31,83
Sweet Child O' Mine (made famous by Guns N' Roses),Guns N' Roses,2008-07-01,8
I’m Not The Only One (feat. A$AP Rocky),Sam Smith,2015-11-06,52
Hey Mama,David Guetta,2021-09-03,53
Say You Won't Let Go,James Arthur,2016-10-28,88
You're Welcome,Dwayne Johnson,2016-11-18,48
How Deep Is Your Love,Calvin Harris,2015-07-17,80
Do I Wanna Know?,Arctic Monkeys,2013-09-09,90
El Pollito Pio - Radio Edit,Pulcino Pio,2013-04-04,42
Bad Blood,Taylor Swift,2014-01-01,79
52 Gaj Ka Daman,Yashvi Singh,2022-04-18,7
Gentleman,PSY,2013-01-01,51
I Like It,Cardi B,2018-04-06,79
Call Me Maybe,Carly Rae Jepsen,2012-01-01,84
Hasta el Amanecer,Nicky Jam,2017-01-20,73
Escapate conmigo vs bombona (Mashup),GianGallia,2022-10-09,41
Stitches,Shawn Mendes,2015-04-14,83
Burn,Ellie Goulding,2014-01-01,67
Shallow,Lady Gaga,2018-10-05,86
Congratulations,Post Malone,2016-12-09,84
Vaaste,Dhvani Bhanushali,2019-04-06,70
How You Like That,BLACKPINK,2020-10-02,82
Attention,Charlie Puth,2018-05-11,87
DNA,BTS,2018-08-24,66
