id,song_name,artist_name,popularity
1Usj6PiGnp1LgNteMTS8aK,numb (Slowed + Reverb),my head is empty,54
3vZM2544ETmOCCHuBPZRzm,Heathens,Twenty One Pilots,60
3bNv3VuUOKgrf5hu3YcuRo,Someone Like You,Adele,84
2qG5sZ7Si6sdK74qLxedYM,Con Altura,ROSALÍA,74
3YRCqOhFifThpSRFJ1VWFM,November Rain,Guns N' Roses,82
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,76
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,81
5PycBIeabfvX3n9ILG7Vrv,Propuesta Indecente,Romeo Santos,81
3QYuMpZsC66nwO1tf0jNLw,Don't Let Me Down (Originally Performed by the Chainsmokers Ft. Daya) - Karaoke Instrumental Version,Hit The Button Karaoke,8
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,81
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,85
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,88
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,88
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,78
0puf9yIluy9W0vpMEUoAnN,Bang Bang,Jessie J,80
0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Drake,81
6Ges5C2IE738iJh4HyQizQ,Ay Vamos,J Balvin,72
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,90
1j6xOGusnyXq3l6IryKF3G,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,84
0HlMshB5JmZjPNbOuOgFHN,Nunca Es Suficiente,Los Ángeles Azules,76
6U2NuJILEOEpW2tVCuqKHb,Dura - Remix,Daddy Yankee,65
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,85
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,87
1RouRzlg8OKFeqc6LvdxmB,Felices los 4,Maluma,75
5RIVoVdkDLEygELLCniZFr,Watch Me (Whip / Nae Nae),Silentó,67
7DM4BPaS7uofFul3ywMe46,Vente Pa' Ca (feat. Maluma),Ricky Martin,73
5GK7eDDTVz7CTge1wJrDQW,Kill This Love,BLACKPINK,71
7uYgVgRSgqluZclLS7wpp4,El Farsante - Remix,Ozuna,71
6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,Danny Ocean,77
378iszndTZAR4dH8kwsLC6,Cheap Thrills (feat. Sean Paul),Sia,75
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,90
7Ie9W94M7OjPoZVV216Xus,Not Afraid,Eminem,83
1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,67
6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,86
23WI5V2eD4EyGKxSl7Pyeq,Andas En Mi Cabeza,Chino & Nacho,75
6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,86
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),David Guetta,83
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,91
6IHR2yfODpHj38M6IbUWAx,Bum Bum Tam Tam,MC Fioti,52
7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,Manuel Turizo,70
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,82
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Nirvana,84
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,84
3AEZUABDXNtecAOSC1qTfo,Reggaetón Lento (Bailemos),CNCO,74
6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,76
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,84
4uOBL4DDWWVx4RhYKlPbPC,Queencard,(G)I-DLE,83
1m69ELEgE6k5ZWsap40ozt,Se Preparó,Ozuna,80
4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),BTS,78
4uOBL4DDWWVx4RhYKlPbPC,Queencard,(G)I-DLE,83
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,86
7gcMKL3lnDxsp4bIXyv6Zk,Shaky Shaky,Daddy Yankee,65
0A9mHc7oYUoCECqByV8cQR,Animals,Martin Garrix,70
0JcNysfWVWaMS7R6vzGB2k,Robarte un Beso,Carlos Vives,77
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,89
