Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
On The Floor,Jennifer Lopez,2011-01-01,80,"['dance pop', 'pop', 'urban contemporary']"
Worth It (feat. Kid Ink),Fifth Harmony,2015-01-30,75,['pop']
Something Just Like This,The Chainsmokers,2017-02-22,75,['australian pop']
X,Nicky Jam,2019-11-01,75,['pop']
Somebody That I Used To Know - Tiësto Remix,Gotye,2023-06-30,1,"['dance pop', 'pop']"
Sin Pijama,Becky G,2018-04-20,68,"['girl group', 'pop', 'talent show']"
Side To Side,Ariana Grande,2016-05-20,69,"['indietronica', 'metropopolis', 'pop', 'uk pop']"
Life Is Good (feat. Drake),Future,2020-01-10,77,"['canadian pop', 'pop']"
No Me Conoce - Remix,Jhayco,2019-05-24,84,"['glam metal', 'hard rock', 'rock']"
DDU-DU DDU-DU (Remix Version) [Live],BLACKPINK,2019-08-30,34,['ambient lo-fi']
numb (Slowed + Reverb),my head is empty,2023-06-09,54,"['k-pop', 'k-pop girl group', 'pop']"
Heathens,Twenty One Pilots,2016-06-16,85,"['dance pop', 'pop']"
Someone Like You,Adele,2011-01-24,84,['karaoke']
Con Altura,ROSALÍA,2019-03-28,74,"['latin viral pop', 'pop', 'r&b en espanol']"
November Rain,Guns N' Roses,1991-09-17,82,"['pop', 'uk pop']"
China,Anuel AA,2019-07-19,76,"['modern rock', 'pop', 'pov: indie', 'rock']"
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,2018-12-14,81,"['reggaeton', 'trap latino', 'urbano latino']"
Propuesta Indecente,Romeo Santos,2014-02-25,81,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Don't Let Me Down (Originally Performed by the Chainsmokers Ft. Daya) - Karaoke Instrumental Version,Hit The Button Karaoke,2016-03-31,8,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
Havana (feat. Young Thug),Camila Cabello,2018-01-12,81,"['permanent wave', 'pop']"
Hymn for the Weekend,Coldplay,2015-12-04,85,['australian pop']
The Hills,The Weeknd,2015-08-28,88,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Thunder,Imagine Dragons,2017-06-23,88,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Dance Monkey,Tones And I,2019-10-17,78,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']"
Bang Bang,Jessie J,2014-10-14,80,"['modern rock', 'pop', 'rock']"
Hotline Bling,Drake,2016-05-06,81,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Ay Vamos,J Balvin,2014-09-16,72,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
lovely (with Khalid),Billie Eilish,2018-04-19,90,"['dance pop', 'pop']"
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,2018-05-11,84,"['art pop', 'pop']"
Nunca Es Suficiente,Los Ángeles Azules,2018-06-08,75,"['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']"
Dura - Remix,Daddy Yankee,2018-04-27,65,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
In Da Club,50 Cent,2003-02-06,84,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
Just the Way You Are,Bruno Mars,2010-10-05,87,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Felices los 4,Maluma,2018-05-18,75,"['australian dance', 'australian pop', 'pop']"
Watch Me (Whip / Nae Nae),Silentó,2015-05-04,67,"['dance pop', 'pop']"
Vente Pa' Ca (feat. Maluma),Ricky Martin,2016-09-22,73,"['k-pop', 'k-pop girl group', 'pop']"
Kill This Love,BLACKPINK,2019-04-05,71,"['latin pop', 'mexican pop', 'puerto rican pop']"
El Farsante - Remix,Ozuna,2018-01-30,71,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
Me Rehúso,Danny Ocean,2016-09-16,77,"['chicago bop', 'pinoy hip hop']"
Cheap Thrills,Sia,2016-01-29,80,"['british soul', 'pop', 'pop soul', 'uk pop']"
Take on Me,a-ha,1985-06-01,90,"['grunge', 'permanent wave', 'rock']"
Not Afraid,Eminem,2010-06-18,83,"['k-pop', 'k-pop boy group', 'pop']"
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2012-08-01,67,"['pop rap', 'seattle hip hop']"
Paradise,Coldplay,2011-10-24,86,"['detroit hip hop', 'hip hop', 'rap']"
Andas En Mi Cabeza,Chino & Nacho,2023-11-20,9,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Human,Rag'n'Bone Man,2017-02-10,81,"['detroit hip hop', 'hip hop', 'rap']"
Titanium (feat. Sia),David Guetta,2012-12-07,83,"['funk carioca', 'funk ostentacao', 'funk paulista']"
Without Me,Eminem,2002-05-26,91,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Bum Bum Tam Tam,MC Fioti,2014,52,"['permanent wave', 'pop']"
Una Lady Como Tú,Manuel Turizo,2017-04-10,70,"['art pop', 'dance pop', 'pop']"
Dynamite,BTS,2020-11-20,82,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Smells Like Teen Spirit,Nirvana,1991-09-26,84,"['boy band', 'latin pop', 'reggaeton', 'urbano latino']"
Bad Romance,Lady Gaga,2009-11-05,84,['k-pop girl group']
Reggaetón Lento (Bailemos),CNCO,2016-08-26,74,"['dance pop', 'pop']"
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-02-23,76,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017-06-22,75,"['k-pop', 'k-pop boy group', 'pop']"
Queencard,(G)I-DLE,2023-05-15,83,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
Se Preparó,Ozuna,2017-08-25,80,"['dance pop', 'pop']"
Boy With Luv (feat. Halsey),BTS,2019-04-12,78,"['canadian pop', 'pop']"
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,79,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
Love Yourself,Justin Bieber,2015-11-13,86,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Shaky Shaky,Daddy Yankee,2016-04-08,65,"['colombian pop', 'latin pop', 'vallenato']"
Animals,Martin Garrix,2013-06-17,70,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
Robarte un Beso,Carlos Vives,2017-11-10,77,"['new wave pop', 'pop rock']"
In the End,Linkin Park,2000-10-24,89,"['dance pop', 'pop']"
Just Give Me a Reason (feat. Nate Ruess),P!nk,2012-09-18,84,"['k-pop', 'k-pop girl group', 'pop']"
Toda Remix - Remix,Alex Rose,2018-06-01,74,"['reggaeton', 'trap latino', 'urbano latino']"
What's Up? - Single Version,4 Non Blondes,2021-01-29,51,"['dance pop', 'pop', 'pop dance', 'pop rap']"
BOOMBAYAH - Japanese Version,BLACKPINK,2018-12-05,60,"['colombian pop', 'latin pop', 'vallenato']"
La Bicicleta,Carlos Vives,2017-11-10,76,"['canadian pop', 'pop', 'viral pop']"
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016-05-06,82,"['desi hip hop', 'desi pop', 'punjabi pop']"
Señorita,Shawn Mendes,2019-06-21,80,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Corazón (feat. Nego do Borel),Maluma,2018-05-18,72,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Lehanga,Jass Manak,2022-11-13,68,"['glam metal', 'hard rock', 'rock']"
Unforgettable,French Montana,2017-07-14,86,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
