danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.737,0.725,0,-5.417,1,0.0641,0.0976,0.0,0.174,0.755,96.012,audio_features,45wMBGri1PORPjM9PwFfrS,spotify:track:45wMBGri1PORPjM9PwFfrS,https://api.spotify.com/v1/tracks/45wMBGri1PORPjM9PwFfrS,https://api.spotify.com/v1/audio-analysis/45wMBGri1PORPjM9PwFfrS,231833,4
0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,audio_features,4ipnJyDU3Lq15qBAYNqlqK,spotify:track:4ipnJyDU3Lq15qBAYNqlqK,https://api.spotify.com/v1/tracks/4ipnJyDU3Lq15qBAYNqlqK,https://api.spotify.com/v1/audio-analysis/4ipnJyDU3Lq15qBAYNqlqK,189440,4
0.647,0.608,6,-7.521,1,0.0744,0.753,0.0,0.0727,0.688,116.132,audio_features,6tybdkf1AI0MbJWKkHC1xe,spotify:track:6tybdkf1AI0MbJWKkHC1xe,https://api.spotify.com/v1/tracks/6tybdkf1AI0MbJWKkHC1xe,https://api.spotify.com/v1/audio-analysis/6tybdkf1AI0MbJWKkHC1xe,304138,4
0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,235545,4
0.632,0.807,7,-5.676,1,0.0738,0.0103,1.27e-05,0.29,0.921,160.055,audio_features,3pv7Q5v2dpdefwdWIvE7yH,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/tracks/3pv7Q5v2dpdefwdWIvE7yH,https://api.spotify.com/v1/audio-analysis/3pv7Q5v2dpdefwdWIvE7yH,219209,4
0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,audio_features,7gHs73wELdeycvS48JfIos,spotify:track:7gHs73wELdeycvS48JfIos,https://api.spotify.com/v1/tracks/7gHs73wELdeycvS48JfIos,https://api.spotify.com/v1/audio-analysis/7gHs73wELdeycvS48JfIos,212627,4
0.548,0.704,11,-4.838,0,0.0777,0.0168,2.25e-05,0.143,0.288,104.666,audio_features,7COfe3P7KgfwDwIRB8LIDw,spotify:track:7COfe3P7KgfwDwIRB8LIDw,https://api.spotify.com/v1/tracks/7COfe3P7KgfwDwIRB8LIDw,https://api.spotify.com/v1/audio-analysis/7COfe3P7KgfwDwIRB8LIDw,185040,4
0.718,0.792,7,-3.519,1,0.105,0.0467,3.65e-06,0.0399,0.96,90.949,audio_features,5M830cD7MNeiiwIGHzH9TV,spotify:track:5M830cD7MNeiiwIGHzH9TV,https://api.spotify.com/v1/tracks/5M830cD7MNeiiwIGHzH9TV,https://api.spotify.com/v1/audio-analysis/5M830cD7MNeiiwIGHzH9TV,243387,4
0.928,0.892,9,-7.782,0,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,audio_features,6nFYXpBgrNcZjbtNEuc6yR,spotify:track:6nFYXpBgrNcZjbtNEuc6yR,https://api.spotify.com/v1/tracks/6nFYXpBgrNcZjbtNEuc6yR,https://api.spotify.com/v1/audio-analysis/6nFYXpBgrNcZjbtNEuc6yR,192227,4
0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,1Yk0cQdMLx5RzzFTYwmuld,spotify:track:1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/tracks/1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/audio-analysis/1Yk0cQdMLx5RzzFTYwmuld,295502,4
0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,audio_features,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,251088,4
0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,audio_features,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,209320,4
0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,audio_features,6mICuAdrwEjh6Y6lroV2Kg,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg,195840,4
0.765,0.269,5,-10.773,0,0.121,0.324,0.395,0.106,0.359,189.96,audio_features,15i07hah64WMAVWte3j5QU,spotify:track:15i07hah64WMAVWte3j5QU,https://api.spotify.com/v1/tracks/15i07hah64WMAVWte3j5QU,https://api.spotify.com/v1/audio-analysis/15i07hah64WMAVWte3j5QU,245368,4
0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,audio_features,06KyNuuMOX1ROXRhj787tj,spotify:track:06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/tracks/06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/audio-analysis/06KyNuuMOX1ROXRhj787tj,217707,4
0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4
0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,audio_features,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,214480,4
0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227,4
