danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,audio_features,0FDzzruyVECATHXKHFs9eJ,spotify:track:0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/tracks/0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ,267867,4
0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,audio_features,3UGIZ8qcrMTwzLbx6Kttqt,spotify:track:3UGIZ8qcrMTwzLbx6Kttqt,https://api.spotify.com/v1/tracks/3UGIZ8qcrMTwzLbx6Kttqt,https://api.spotify.com/v1/audio-analysis/3UGIZ8qcrMTwzLbx6Kttqt,171333,4
0.962,0.841,7,-3.354,0,0.0935,0.515,0.0,0.109,0.923,112.036,audio_features,2WfCIE28PgkAzaaT1X87dh,spotify:track:2WfCIE28PgkAzaaT1X87dh,https://api.spotify.com/v1/tracks/2WfCIE28PgkAzaaT1X87dh,https://api.spotify.com/v1/audio-analysis/2WfCIE28PgkAzaaT1X87dh,146786,4
0.624,0.5,7,-6.899,1,0.166,0.696,4.05e-05,0.372,0.562,95.234,audio_features,65vseJi4kug0grGTTSmH2u,spotify:track:65vseJi4kug0grGTTSmH2u,https://api.spotify.com/v1/tracks/65vseJi4kug0grGTTSmH2u,https://api.spotify.com/v1/audio-analysis/65vseJi4kug0grGTTSmH2u,112205,3
0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,audio_features,5rb9QrpfcKFHM1EUbSIurX,spotify:track:5rb9QrpfcKFHM1EUbSIurX,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX,https://api.spotify.com/v1/audio-analysis/5rb9QrpfcKFHM1EUbSIurX,250373,4
0.744,0.667,5,-5.825,1,0.155,0.111,0.00122,0.0994,0.817,174.945,audio_features,3o3iS3AKDLARflaNeZW9kV,spotify:track:3o3iS3AKDLARflaNeZW9kV,https://api.spotify.com/v1/tracks/3o3iS3AKDLARflaNeZW9kV,https://api.spotify.com/v1/audio-analysis/3o3iS3AKDLARflaNeZW9kV,209554,4
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,audio_features,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,242373,4
0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,audio_features,0n4bITAu0Y0nigrz3MFJMb,spotify:track:0n4bITAu0Y0nigrz3MFJMb,https://api.spotify.com/v1/tracks/0n4bITAu0Y0nigrz3MFJMb,https://api.spotify.com/v1/audio-analysis/0n4bITAu0Y0nigrz3MFJMb,263827,4
0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,audio_features,2JPLbjOn0wPCngEot2STUS,spotify:track:2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/audio-analysis/2JPLbjOn0wPCngEot2STUS,206710,4
0.829,0.857,8,-4.194,0,0.152,0.26,0.0,0.415,0.586,137.979,audio_features,5Ravsw8TmHN5wBiYPPYUFw,spotify:track:5Ravsw8TmHN5wBiYPPYUFw,https://api.spotify.com/v1/tracks/5Ravsw8TmHN5wBiYPPYUFw,https://api.spotify.com/v1/audio-analysis/5Ravsw8TmHN5wBiYPPYUFw,240747,4
0.688,0.729,2,-5.939,1,0.0315,0.109,0.0,0.225,0.909,127.998,audio_features,5vj59ONIVbyhcrI8ZSwoRo,spotify:track:5vj59ONIVbyhcrI8ZSwoRo,https://api.spotify.com/v1/tracks/5vj59ONIVbyhcrI8ZSwoRo,https://api.spotify.com/v1/audio-analysis/5vj59ONIVbyhcrI8ZSwoRo,210467,4
0.433,0.893,9,-10.337,0,0.149,0.00542,0.000558,0.704,0.196,159.465,audio_features,62eIcWufZSMefHBswNiFac,spotify:track:62eIcWufZSMefHBswNiFac,https://api.spotify.com/v1/tracks/62eIcWufZSMefHBswNiFac,https://api.spotify.com/v1/audio-analysis/62eIcWufZSMefHBswNiFac,268360,4
0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448,audio_features,6p5abLu89ZSSpRQnbK9Wqs,spotify:track:6p5abLu89ZSSpRQnbK9Wqs,https://api.spotify.com/v1/tracks/6p5abLu89ZSSpRQnbK9Wqs,https://api.spotify.com/v1/audio-analysis/6p5abLu89ZSSpRQnbK9Wqs,226581,4
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
