danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,audio_features,7JJmb5XwzOO8jgpou264Ml,spotify:track:7JJmb5XwzOO8jgpou264Ml,https://api.spotify.com/v1/tracks/7JJmb5XwzOO8jgpou264Ml,https://api.spotify.com/v1/audio-analysis/7JJmb5XwzOO8jgpou264Ml,199440,4
0.733,0.781,2,-2.98,0,0.081,0.357,0.0,0.2,0.842,91.914,audio_features,7z4WO6qbo7aBk7lf32gRk3,spotify:track:7z4WO6qbo7aBk7lf32gRk3,https://api.spotify.com/v1/tracks/7z4WO6qbo7aBk7lf32gRk3,https://api.spotify.com/v1/audio-analysis/7z4WO6qbo7aBk7lf32gRk3,213933,4
0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,audio_features,0F7FA14euOIX8KcbEturGH,spotify:track:0F7FA14euOIX8KcbEturGH,https://api.spotify.com/v1/tracks/0F7FA14euOIX8KcbEturGH,https://api.spotify.com/v1/audio-analysis/0F7FA14euOIX8KcbEturGH,113000,4
0.721,0.383,4,-10.448,0,0.086,0.549,0.0,0.101,0.55,89.322,audio_features,1OzvSf6ErpePcMGyxO4nFH,spotify:track:1OzvSf6ErpePcMGyxO4nFH,https://api.spotify.com/v1/tracks/1OzvSf6ErpePcMGyxO4nFH,https://api.spotify.com/v1/audio-analysis/1OzvSf6ErpePcMGyxO4nFH,150229,4
0.52,0.709,5,-7.125,0,0.0352,0.247,1.78e-05,0.18,0.536,76.039,audio_features,6urCAbunOQI4bLhmGpX7iS,spotify:track:6urCAbunOQI4bLhmGpX7iS,https://api.spotify.com/v1/tracks/6urCAbunOQI4bLhmGpX7iS,https://api.spotify.com/v1/audio-analysis/6urCAbunOQI4bLhmGpX7iS,263560,4
0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097,audio_features,22skzmqfdWrjJylampe0kt,spotify:track:22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/tracks/22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/audio-analysis/22skzmqfdWrjJylampe0kt,258432,4
0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,211667,4
0.824,0.558,8,-7.907,1,0.0696,0.0213,0.00068,0.198,0.213,105.964,audio_features,67hEbzxF9hySmBDcR62Q6a,spotify:track:67hEbzxF9hySmBDcR62Q6a,https://api.spotify.com/v1/tracks/67hEbzxF9hySmBDcR62Q6a,https://api.spotify.com/v1/audio-analysis/67hEbzxF9hySmBDcR62Q6a,235944,4
0.796,0.978,5,-1.266,0,0.0955,0.289,0.00254,0.346,0.8,129.999,audio_features,63MvWd6T6yoS7h4AJ4Hjrm,spotify:track:63MvWd6T6yoS7h4AJ4Hjrm,https://api.spotify.com/v1/tracks/63MvWd6T6yoS7h4AJ4Hjrm,https://api.spotify.com/v1/audio-analysis/63MvWd6T6yoS7h4AJ4Hjrm,212741,4
0.354,0.947,2,-6.131,1,0.267,0.165,0.0151,0.97,0.129,128.929,audio_features,5BNaIGxvxKU7KGUTBoLssA,spotify:track:5BNaIGxvxKU7KGUTBoLssA,https://api.spotify.com/v1/tracks/5BNaIGxvxKU7KGUTBoLssA,https://api.spotify.com/v1/audio-analysis/5BNaIGxvxKU7KGUTBoLssA,445824,4
0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,audio_features,1mWdTewIgB3gtBM3TOSFhB,spotify:track:1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/tracks/1mWdTewIgB3gtBM3TOSFhB,https://api.spotify.com/v1/audio-analysis/1mWdTewIgB3gtBM3TOSFhB,164442,4
0.849,0.629,7,-6.27,1,0.0475,0.0789,0.0,0.13,0.467,130.105,audio_features,6dWf1xaHOmJo7eL9WuSkdL,spotify:track:6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/tracks/6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/audio-analysis/6dWf1xaHOmJo7eL9WuSkdL,243840,4
0.438,0.797,11,-4.395,0,0.227,0.0173,0.0,0.164,0.71,195.237,audio_features,7gFu2zjthH2zPbyl4uHLpr,spotify:track:7gFu2zjthH2zPbyl4uHLpr,https://api.spotify.com/v1/tracks/7gFu2zjthH2zPbyl4uHLpr,https://api.spotify.com/v1/audio-analysis/7gFu2zjthH2zPbyl4uHLpr,203077,3
0.757,0.678,8,-5.529,0,0.233,0.0472,9.14e-06,0.0654,0.82,120.075,audio_features,2hgzdQdnfWwtdpZbhZlV72,spotify:track:2hgzdQdnfWwtdpZbhZlV72,https://api.spotify.com/v1/tracks/2hgzdQdnfWwtdpZbhZlV72,https://api.spotify.com/v1/audio-analysis/2hgzdQdnfWwtdpZbhZlV72,218235,4
