danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,audio_features,5ildQOEKmJuWGl2vRkFdYc,spotify:track:5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/tracks/5ildQOEKmJuWGl2vRkFdYc,https://api.spotify.com/v1/audio-analysis/5ildQOEKmJuWGl2vRkFdYc,157018,4
0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,audio_features,6XHVuErjQ4XNm6nDPVCxVX,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/tracks/6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/audio-analysis/6XHVuErjQ4XNm6nDPVCxVX,260640,4
0.58,0.627,1,-4.607,0,0.447,0.275,0.0,0.269,0.694,82.027,audio_features,64t9LrI2DcljIxGZ6ayXmi,spotify:track:64t9LrI2DcljIxGZ6ayXmi,https://api.spotify.com/v1/tracks/64t9LrI2DcljIxGZ6ayXmi,https://api.spotify.com/v1/audio-analysis/64t9LrI2DcljIxGZ6ayXmi,168043,4
0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,audio_features,4SSnFejRGlZikf02HLewEF,spotify:track:4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,193143,4
0.777,0.84,7,-4.384,1,0.082,0.151,1.24e-06,0.249,0.804,97.979,audio_features,5PnEBmCk56RQphcMe7EqhG,spotify:track:5PnEBmCk56RQphcMe7EqhG,https://api.spotify.com/v1/tracks/5PnEBmCk56RQphcMe7EqhG,https://api.spotify.com/v1/audio-analysis/5PnEBmCk56RQphcMe7EqhG,262707,4
0.754,0.754,1,-7.241,1,0.268,0.000771,0.387,0.145,0.619,132.012,audio_features,4jkf7dGKtr00qO9sH1HOfb,spotify:track:4jkf7dGKtr00qO9sH1HOfb,https://api.spotify.com/v1/tracks/4jkf7dGKtr00qO9sH1HOfb,https://api.spotify.com/v1/audio-analysis/4jkf7dGKtr00qO9sH1HOfb,195791,4
0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,audio_features,5bJ1DrEM4hNCafcDd1oxHx,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx,345133,4
0.479,0.594,2,-5.106,0,0.0317,0.602,0.0,0.124,0.447,172.069,audio_features,2JYpBNDz205dllLsOivb78,spotify:track:2JYpBNDz205dllLsOivb78,https://api.spotify.com/v1/tracks/2JYpBNDz205dllLsOivb78,https://api.spotify.com/v1/audio-analysis/2JYpBNDz205dllLsOivb78,276320,4
0.65,0.792,6,-3.825,0,0.0393,0.607,2.36e-05,0.92,0.872,154.027,audio_features,5R9KPXQVeyqsHZoPLMgfNy,spotify:track:5R9KPXQVeyqsHZoPLMgfNy,https://api.spotify.com/v1/tracks/5R9KPXQVeyqsHZoPLMgfNy,https://api.spotify.com/v1/audio-analysis/5R9KPXQVeyqsHZoPLMgfNy,225672,4
0.555,0.665,8,-8.132,0,0.0403,0.139,0.0,0.167,0.472,75.008,audio_features,2Zwv2vKU8mwgh2LI5GUKcT,spotify:track:2Zwv2vKU8mwgh2LI5GUKcT,https://api.spotify.com/v1/tracks/2Zwv2vKU8mwgh2LI5GUKcT,https://api.spotify.com/v1/audio-analysis/2Zwv2vKU8mwgh2LI5GUKcT,280149,4
