Title,Most view per day,Most-view-date,Highest rank,Time to Highest rank,Charted-duration,URL id:
The Weeknd - Starboy ft. Daft Punk (Official Video),7045377,2016/12/31,3.0,2.0,95.0,34Na4j8AVgA
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1900727,2011/11/05,1.0,6.0,305.0,KQ6zr6kCPj8
John Legend - All of Me (Official Video),1667277,2015/10/30,12.0,,230.0,450p7goxZqg
Avicii - Wake Me Up (Official Video),19979393,2018/04/20,3.0,1.0,210.0,IcrbM1l_BoI
Ellie Goulding - Love Me Like You Do (Official Video),6184091,2015/03/14,2.0,2.0,152.0,AJtDXIazrMo
"Luis Fonsi, Demi Lovato - Échame La Culpa",18955579,2017/11/17,1.0,6.0,68.0,TyHvyGVs42U
Rihanna - Diamonds,4756748,2012/11/11,2.0,7.0,284.0,lWA2pjMjpBs
"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",4852903,2019/01/10,8.0,,266.0,ApXoWvfEYVU
Justin Bieber - What Do You Mean?,11944316,2015/08/31,1.0,1.0,101.0,DK_0jXPuIr0
Fifth Harmony - Worth It (Official Video) ft. Kid Ink,3993020,2016/05/28,4.0,,112.0,YBHQbu5rbdQ
Jennifer Lopez - On The Floor ft. Pitbull,5902176,2011/03/05,1.0,17.0,185.0,t4H_Zoh7G5A
Bruno Mars - That’s What I Like [Official Music Video],10379762,2017/03/02,5.0,,68.0,PMivT7MJ41M
The Chainsmokers & Coldplay - Something Just Like This (Lyric),8173630,2017/02/23,6.0,,111.0,FM7MFYoylVs
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,20681395,2018/03/02,1.0,7.0,83.0,_I_D_8Z4sJE
Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],2098254,2012/04/15,1.0,4.0,296.0,8UVNT4wvIGY
Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,7333779,2016/12/31,2.0,5.0,70.0,SXiSVQZLje8
"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",6689451,2019/08/24,2.0,1.0,200.0,w2C6RhQBYlg
"Becky G, NATTI NATASHA - Sin Pijama (Official Video)",7864045,2018/07/14,2.0,1.0,95.0,zEf423kYfqk
BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,32522894,2018/06/15,1.0,1.0,221.0,IHNzOHi8sJs
Future - Life Is Good (Official Music Video) ft. Drake,5684812,2020/07/04,1.0,1.0,69.0,l0U7SxXHkPY
Numb (Official Music Video) [4K UPGRADE],9846156,2017/07/21,13.0,,118.0,kXYiU_JCYtU
"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",8098014,2019/07/06,1.0,1.0,106.0,p7bfOZek9t4
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],4331657,2016/09/10,5.0,,127.0,UprcpdwuwCg
Adele - Someone Like You (Official Music Video),2401363,2019/01/16,2.0,1.0,244.0,hLQl3WQQoQ0
Guns N' Roses - November Rain,1244242,2021/04/24,55.0,,263.0,8SbUC-UaAxE
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",15347883,2019/08/02,1.0,10.0,93.0,0VR3dfZf9Yg
Romeo Santos - Propuesta Indecente (Official Video),1761097,2013/12/14,6.0,,171.0,QFs3PIZb3js
ZAYN - Dusk Till Dawn (Official Video) ft. Sia,9775757,2017/09/07,6.0,,123.0,tt2k8PGm-TI
